種類,キャラクター,テキスト,画像
dialog,ハマボウ5,<ruby>東軍<rt>とうぐん</rt></ruby>と<ruby>西軍<rt>せいぐん</rt></ruby>に<ruby>分<rt>わ</rt></ruby>かれたのって<ruby>偶然<rt>ぐうぜん</rt></ruby>に<ruby>近<rt>ちか</rt></ruby>いのかな？,
dialog,サリー1,そうね。たしかに<ruby>徳川<rt>とくがわ</rt></ruby><ruby>家康<rt>いえやす</rt></ruby>は<ruby>秀吉<rt>ひでよし</rt></ruby>と、<ruby>秀吉<rt>ひでよし</rt></ruby>と<ruby>親友<rt>しんゆう</rt></ruby>だった<ruby>前田<rt>まえだ</rt></ruby><ruby>利家<rt>としいえ</rt></ruby>が<ruby>亡<rt>な</rt></ruby>くなってから、<ruby>他大名<rt>ただいみょう</rt></ruby>との<ruby>婚姻<rt>こんいん</rt></ruby>や<ruby>他大名<rt>ただいみょう</rt></ruby>の<ruby>加増<rt>かぞう</rt></ruby>を<ruby>勝手<rt>かって</rt></ruby>に<ruby>行<rt>おこな</rt></ruby>って、<ruby>不信感<rt>ふしんかん</rt></ruby>は<ruby>抱<rt>いだ</rt></ruby>かれていたみたいだけど、<ruby>家康<rt>いえやす</rt></ruby>と<ruby>三成<rt>みつなり</rt></ruby>が<ruby>最初<rt>さいしょ</rt></ruby>から<ruby>敵対<rt>てきたい</rt></ruby>していた<ruby>訳<rt>わけ</rt></ruby>では<ruby>無<rt>な</rt></ruby>いの。,
dialog,シオリン4,そう<ruby>単純<rt>たんじゅん</rt></ruby>な<ruby>話<rt>はなし</rt></ruby>でもなかったのね……。<ruby>教科書<rt>きょうかしょ</rt></ruby>からじゃ<ruby>分<rt>わ</rt></ruby>からないことだらけだわ……。,
split,,なしなしなしなしなしなし,
title,,<ruby>関ヶ原<rt>せきがはら</rt></ruby><ruby>前夜<rt>ぜんや</rt></ruby>,
image,,なしなしなしなしなしなし,三成暗殺計画
dialog,サリー1,でも、<ruby>細川<rt>ほそかわ</rt></ruby><ruby>忠興<rt>ただおき</rt></ruby>、<ruby>福島<rt>ふくしま</rt></ruby><ruby>正則<rt>まさのり</rt></ruby>、<ruby>黒田長政<rt>くろだながまさ</rt></ruby>、<ruby>藤堂<rt>とうどう</rt></ruby><ruby>高虎<rt>たかとら</rt></ruby>を<ruby>含<rt>ふく</rt></ruby>む7<ruby>人<rt>にん</rt></ruby>の<ruby>武将<rt>ぶしょう</rt></ruby>が<ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby>の<ruby>屋敷<rt>やしき</rt></ruby>を<ruby>襲撃<rt>しゅうげき</rt></ruby>したことで<ruby>一気<rt>いっき</rt></ruby>に<ruby>流<rt>なが</rt></ruby>れは<ruby>変<rt>か</rt></ruby>わるわ。,
dialog,ハマボウ5,たしかに、この4<ruby>人<rt>にん</rt></ruby>はみんな<ruby>東軍<rt>とうぐん</rt></ruby>、<ruby>襲<rt>おそ</rt></ruby>われた<ruby>三成<rt>みつなり</rt></ruby>は<ruby>西軍<rt>せいぐん</rt></ruby>だ……！,
dialog,サリー1,"そして、この<ruby>事件<rt>じけん</rt></ruby>の<ruby>裁定<rt>さいてい</rt></ruby>をしたのが<ruby>家康<rt>いえやす</rt></ruby>だったのよ。これによって<ruby>三成<rt>みつなり</rt></ruby>は<ruby>大坂城<rt>おおさかじょう</rt></ruby>を<ruby>去<rt>さ</rt></ruby>って<ruby>居城<rt>きょじょう</rt></ruby>の<ruby>佐和山<rt>さわやま</rt></ruby>で<ruby>蟄居<rt>ちっきょ</rt></ruby>させられて<ruby>政治<rt>せいじ</rt></ruby>に<ruby>関<rt>かか</rt></ruby>われなくなってしまうわ。
<ruby>逆<rt>ぎゃく</rt></ruby>に、どんどん<ruby>権力<rt>けんりょく</rt></ruby>を<ruby>増<rt>ま</rt></ruby>す<ruby>家康<rt>いえやす</rt></ruby>を<ruby>警戒<rt>けいかい</rt></ruby>した<ruby>大野治長<rt>おおのはるなが</rt></ruby>たちが<ruby>家康<rt>いえやす</rt></ruby>を<ruby>暗殺<rt>あんさつ</rt></ruby>しようとしたことで、<ruby>家康<rt>いえやす</rt></ruby>は<ruby>大坂城<rt>おおさかじょう</rt></ruby>に<ruby>乗<rt>の</rt></ruby>り<ruby>込<rt>こ</rt></ruby>んで、<ruby>自<rt>みずか</rt></ruby>らの<ruby>安全<rt>あんぜん</rt></ruby>のために、という<ruby>名目<rt>めいもく</rt></ruby>で<ruby>大坂城<rt>おおさかじょう</rt></ruby>から<ruby>指揮<rt>しき</rt></ruby>をとりはじめてしまうの。",
image,,なしなしなしなしなしなし,家康暗殺計画
